country,type,release_year,total_titles
"Canada, United Kingdom",TV Show,2016,1
"Canada, United Kingdom, Netherlands",Movie,2015,1
"Canada, United Kingdom, United States",Movie,2016,1
"Canada, United Kingdom, United States",TV Show,2014,1
"Canada, United States",Movie,1997,1
"Canada, United States",Movie,2004,1
"Canada, United States",Movie,2006,1
"Canada, United States",Movie,2008,1
"Canada, United States",Movie,2012,1
"Canada, United States",Movie,2013,1
"Canada, United States",Movie,2014,1
"Canada, United States",Movie,2021,1
"Canada, United States",TV Show,2009,1
"Canada, United States",TV Show,2015,1
"Canada, United States",TV Show,2016,1
"Canada, United States",TV Show,2017,1
"Canada, United States",TV Show,2019,1
"Canada, United States",TV Show,2021,1
"Canada, United States, Cayman Islands",Movie,2021,1
"Canada, United States, Denmark",Movie,2014,1
"Canada, United States, France",TV Show,2015,1
"Canada, United States, France",TV Show,2017,1
"Canada, United States, Germany",Movie,2018,1
"Canada, United States, India, United Kingdom",Movie,2010,1
"Canada, United States, Ireland",TV Show,2021,1
"Canada, United States, Mexico",Movie,2015,1
"Canada, United States, United Kingdom",Movie,2015,1
"Canada, United States, United Kingdom",Movie,2020,1
"Canada, United States, United Kingdom, France, Luxembourg",TV Show,2011,1
Chile,Movie,2013,1
Chile,Movie,2015,1
Chile,Movie,2017,1
Chile,Movie,2020,1
Chile,TV Show,2013,1
Chile,TV Show,2015,1
Chile,TV Show,2016,1
"Chile, Argentina",Movie,2018,1
"Chile, Argentina, France, Spain, United States",Movie,2016,1
"Chile, Brazil",Movie,2008,1
"Chile, France",Movie,2016,1
"Chile, Italy",TV Show,2020,1
"Chile, Peru",Movie,2017,1
"Chile, Spain, Argentina, Germany",Movie,2015,1
"Chile, United States, France",Movie,2016,1
China,Movie,2008,1
China,TV Show,2008,1
China,TV Show,2011,1
"China, Canada, United States",Movie,2018,1
"China, Germany, India, United States",Movie,2015,1
"China, Hong Kong",Movie,2005,1
"China, Hong Kong",Movie,2011,1
"China, Hong Kong",Movie,2014,1
"China, Hong Kong",Movie,2015,1
"China, Hong Kong",TV Show,2019,1
"China, Hong Kong, United States",Movie,2016,1
"China, India, Nepal",Movie,2017,1
"China, Japan",Movie,2018,1
"China, Morocco, Hong Kong",Movie,2018,1
"China, South Korea, United States",Movie,2015,1
"China, Spain, South Korea, United States",Movie,2020,1
"China, Taiwan",Movie,2019,1
"China, Taiwan",Movie,2021,1
"China, United Kingdom",Movie,2021,1
"China, United Kingdom",TV Show,2018,1
"China, United Kingdom",TV Show,2019,1
"China, United States",Movie,2016,1
"China, United States",Movie,2020,1
"China, United States, Australia",Movie,2018,1
